code,name,effective_from,effective_to,confidence,note
1101,台泥,2025-05-27,2025-08-13,high,point-in-time top-N market-cap membership
1101,台泥,2025-08-14,,high,point-in-time top-N market-cap membership
1102,亞泥,2025-05-27,,high,point-in-time top-N market-cap membership
1210,大成,2025-07-01,,high,point-in-time top-N market-cap membership
1215,卜蜂,2025-05-27,2026-06-01,high,point-in-time top-N market-cap membership
1215,卜蜂,2026-06-05,2026-06-09,high,point-in-time top-N market-cap membership
1215,卜蜂,2026-06-10,,high,point-in-time top-N market-cap membership
1216,統一,2025-05-27,,high,point-in-time top-N market-cap membership
1227,佳格,2025-05-27,2025-09-10,high,point-in-time top-N market-cap membership
1227,佳格,2025-09-11,2025-09-12,high,point-in-time top-N market-cap membership
1227,佳格,2025-09-15,2025-09-16,high,point-in-time top-N market-cap membership
1227,佳格,2025-09-25,2026-01-07,high,point-in-time top-N market-cap membership
1229,聯華,2025-05-27,,high,point-in-time top-N market-cap membership
1231,聯華食,2025-05-27,2026-01-22,high,point-in-time top-N market-cap membership
1231,聯華食,2026-01-23,2026-01-26,high,point-in-time top-N market-cap membership
1231,聯華食,2026-01-30,2026-02-02,high,point-in-time top-N market-cap membership
1232,大統益,2025-05-27,2025-06-11,high,point-in-time top-N market-cap membership
1301,台塑,2025-05-27,,high,point-in-time top-N market-cap membership
1303,南亞,2025-05-27,,high,point-in-time top-N market-cap membership
1314,中石化,2025-05-27,2025-06-11,high,point-in-time top-N market-cap membership
1314,中石化,2025-06-30,2025-07-10,high,point-in-time top-N market-cap membership
1314,中石化,2025-07-14,2025-09-05,high,point-in-time top-N market-cap membership
1314,中石化,2025-09-08,2025-09-15,high,point-in-time top-N market-cap membership
1314,中石化,2025-09-17,2025-09-18,high,point-in-time top-N market-cap membership
1314,中石化,2025-09-19,2025-09-22,high,point-in-time top-N market-cap membership
1314,中石化,2025-09-25,2025-10-03,high,point-in-time top-N market-cap membership
1314,中石化,2025-10-09,2026-04-08,high,point-in-time top-N market-cap membership
1314,中石化,2026-04-09,2026-04-10,high,point-in-time top-N market-cap membership
1319,東陽,2025-05-27,,high,point-in-time top-N market-cap membership
1326,台化,2025-05-27,,high,point-in-time top-N market-cap membership
1402,遠東新,2025-05-27,2026-03-02,high,point-in-time top-N market-cap membership
1402,遠東新,2026-04-01,,high,point-in-time top-N market-cap membership
1409,新纖,2025-08-15,2025-08-22,high,point-in-time top-N market-cap membership
1409,新纖,2026-05-29,,high,point-in-time top-N market-cap membership
1434,福懋,2025-05-27,2025-08-28,high,point-in-time top-N market-cap membership
1434,福懋,2025-08-29,2025-09-01,high,point-in-time top-N market-cap membership
1434,福懋,2025-11-12,2025-11-26,high,point-in-time top-N market-cap membership
1434,福懋,2025-12-01,2025-12-10,high,point-in-time top-N market-cap membership
1434,福懋,2025-12-22,2025-12-23,high,point-in-time top-N market-cap membership
1434,福懋,2026-01-19,2026-01-20,high,point-in-time top-N market-cap membership
1434,福懋,2026-01-26,2026-01-30,high,point-in-time top-N market-cap membership
1434,福懋,2026-02-02,2026-03-11,high,point-in-time top-N market-cap membership
1442,名軒,2025-05-27,2025-08-05,high,point-in-time top-N market-cap membership
1442,名軒,2025-08-07,2025-08-08,high,point-in-time top-N market-cap membership
1476,儒鴻,2025-05-27,,high,point-in-time top-N market-cap membership
1477,聚陽,2025-05-27,,high,point-in-time top-N market-cap membership
1503,士電,2025-05-27,,high,point-in-time top-N market-cap membership
1504,東元,2025-05-27,2025-07-30,high,point-in-time top-N market-cap membership
1504,東元,2025-07-31,,high,point-in-time top-N market-cap membership
1513,中興電,2025-05-27,2026-06-01,high,point-in-time top-N market-cap membership
1514,亞力,2025-05-27,2025-09-26,high,point-in-time top-N market-cap membership
1514,亞力,2025-09-30,2025-10-02,high,point-in-time top-N market-cap membership
1514,亞力,2025-10-03,2025-10-09,high,point-in-time top-N market-cap membership
1514,亞力,2025-10-13,2025-10-27,high,point-in-time top-N market-cap membership
1514,亞力,2025-10-30,2025-11-25,high,point-in-time top-N market-cap membership
1514,亞力,2025-11-26,2025-11-27,high,point-in-time top-N market-cap membership
1514,亞力,2025-12-12,2025-12-18,high,point-in-time top-N market-cap membership
1514,亞力,2025-12-19,2025-12-31,high,point-in-time top-N market-cap membership
1514,亞力,2026-01-14,2026-03-30,high,point-in-time top-N market-cap membership
1514,亞力,2026-05-04,2026-05-05,high,point-in-time top-N market-cap membership
1514,亞力,2026-05-08,2026-05-13,high,point-in-time top-N market-cap membership
1514,亞力,2026-06-03,2026-06-10,high,point-in-time top-N market-cap membership
1519,華城,2025-05-27,,high,point-in-time top-N market-cap membership
1560,中砂,2025-05-27,,high,point-in-time top-N market-cap membership
1590,亞德客-KY,2025-05-27,,high,point-in-time top-N market-cap membership
1605,華新,2025-05-27,,high,point-in-time top-N market-cap membership
1609,大亞,2025-05-27,2026-03-11,high,point-in-time top-N market-cap membership
1711,永光,2026-04-22,2026-04-23,high,point-in-time top-N market-cap membership
1711,永光,2026-04-29,2026-04-30,high,point-in-time top-N market-cap membership
1711,永光,2026-05-05,2026-05-08,high,point-in-time top-N market-cap membership
1717,長興,2025-05-27,2025-08-01,high,point-in-time top-N market-cap membership
1717,長興,2025-09-01,2025-12-01,high,point-in-time top-N market-cap membership
1717,長興,2026-01-02,,high,point-in-time top-N market-cap membership
1722,台肥,2025-05-27,,high,point-in-time top-N market-cap membership
1736,喬山,2025-05-27,2026-05-27,high,point-in-time top-N market-cap membership
1736,喬山,2026-05-28,2026-06-01,high,point-in-time top-N market-cap membership
1736,喬山,2026-06-02,2026-06-03,high,point-in-time top-N market-cap membership
1736,喬山,2026-06-08,2026-06-09,high,point-in-time top-N market-cap membership
1736,喬山,2026-06-10,,high,point-in-time top-N market-cap membership
1773,勝一,2025-05-27,,high,point-in-time top-N market-cap membership
1785,光洋科,2025-05-27,,high,point-in-time top-N market-cap membership
1795,美時,2025-05-27,,high,point-in-time top-N market-cap membership
1802,台玻,2025-05-27,,high,point-in-time top-N market-cap membership
1808,潤隆,2025-05-27,2025-08-27,high,point-in-time top-N market-cap membership
1808,潤隆,2025-08-28,2025-09-12,high,point-in-time top-N market-cap membership
1808,潤隆,2025-09-15,2025-09-19,high,point-in-time top-N market-cap membership
